Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE,SALARY,,
22,Nikola Jokic,29,DEN,C,70,70,2571,0.663,29.5,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8,0.61,5.033451371,59.4212963,59421296.3,51415938,,
18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,0.637,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9,0.829,4.519544154,58.84259259,58842592.59,35859950,,
44,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,0.625,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,0.585,3.275307394,58.26388889,58263888.89,48787676,,
30,Tyrese Haliburton,24,IND,PG,73,73,2451,0.616,21.6,8.1,2.3,10.4,0.204,5.7,0.2,5.8,4.9,0.61,2.45280046,57.68518519,57685185.19,42176400,,
14,Jayson Tatum,26,BOS,PF,72,72,2624,0.582,31.2,5.3,4.2,9.5,0.174,4.4,0.8,5.2,4.8,0.744,2.235448863,57.10648148,57106481.48,34848340,,
51,Stephen Curry,36,GSW,PG,70,70,2252,0.618,29.8,5.2,2.7,7.9,0.168,6.4,0,6.3,4.8,0.585,2.22906869,56.52777778,56527777.78,55761216,,
33,Domantas Sabonis,28,SAC,C,70,70,2429,0.655,21.6,7.4,2.7,10.1,0.199,4.2,1.1,5.2,4.4,0.488,2.195100039,55.94907407,55949074.07,40500000,,
32,LeBron James,40,LAL,SF,70,70,2444,0.604,30.1,4.9,2.8,7.7,0.152,4.9,0.7,5.6,4.7,0.61,2.116495079,55.37037037,55370370.37,48728845,,
3,Anthony Edwards,23,MIN,SG,79,79,2871,0.595,31.4,4.6,3.8,8.4,0.14,4.4,0,4.3,4.6,0.598,2.01569055,54.79166667,54791666.67,42176400,,
5,James Harden,35,LAC,PG,79,79,2789,0.582,29.6,4,4.3,8.3,0.143,3.5,0.8,4.3,4.4,0.61,1.932702201,54.21296296,54212962.96,33653846,,
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,0.63,27.4,6.3,3.8,10.1,0.193,3.5,0.1,3.6,3.5,0.622,1.853569115,53.63425926,53634259.26,49205800,,
41,Jarrett Allen,26,CLE,C,82,82,2296,0.724,15.9,7.6,4,11.6,0.243,3,1.2,4.2,3.6,0.78,1.787568309,53.05555556,53055555.56,20000000,,
63,Evan Mobley,23,CLE,PF,71,71,2167,0.633,23.2,5.3,3.8,9,0.2,3.1,1.5,4.6,3.6,0.78,1.779572778,52.47685185,52476851.85,11227657,,
35,Alperen Sengun,22,HOU,C,76,76,2395,0.545,26.2,4.1,4.2,8.3,0.166,2.6,1.8,4.4,3.9,0.634,1.765060532,51.89814815,51898148.15,5424654,,
13,Ivica Zubac,27,LAC,C,80,80,2624,0.641,19.5,7,4.7,11.7,0.215,2.3,0.8,3.1,3.4,0.61,1.745985801,51.31944444,51319444.44,11743210,,
132,Luka Doncic,25,2TM,PG,50,50,1769,0.587,33.9,3.5,2.4,5.9,0.16,5.5,1.2,6.7,3.9,,1.700238303,50.74074074,50740740.74,43031940,,
138,Jimmy Butler,35,2TM,SF,55,55,1746,0.626,20.8,6.6,2,8.7,0.238,4,1,4.9,3,,1.639973134,50.16203704,50162037.04,48798677,,
40,Jalen Brunson,28,NYK,PG,65,65,2301,0.605,29.5,6.8,1.4,8.3,0.172,4.7,-1.3,3.3,3.1,0.622,1.61785946,49.58333333,49583333.33,24960001,,
77,Damian Lillard,34,MIL,PG,58,58,2093,0.621,27.8,5.6,2,7.6,0.175,4.7,-0.6,4,3.2,0.585,1.606958165,49.00462963,49004629.63,48787676,,
8,Tyler Herro,25,MIA,SG,77,77,2725,0.605,28,4.7,2.7,7.4,0.131,3.8,-0.7,3.1,3.5,0.451,1.568747365,48.42592593,48425925.93,29000000,,
53,Jalen Williams,23,OKC,SG,69,69,2237,0.573,27.5,3.7,4.1,7.8,0.168,2.7,1.4,4,3.4,0.829,1.564867449,47.84722222,47847222.22,4775760,,
20,Derrick White,30,BOS,SG,76,76,2574,0.606,19.8,5.1,3.4,8.5,0.158,2.7,0.8,3.5,3.6,0.744,1.550217511,47.26851852,47268518.52,20071429,,
145,Anthony Davis,31,2TM,C,51,51,1706,0.588,30.4,3.7,3,6.7,0.188,3.9,1.5,5.4,3.2,,1.526733494,46.68981481,46689814.81,43219440,,
54,Donovan Mitchell,28,CLE,SG,71,71,2232,0.575,30.9,4.8,2.8,7.6,0.163,3.8,-0.2,3.7,3.2,0.78,1.515089319,46.11111111,46111111.11,35410310,,
39,Darius Garland,25,CLE,PG,75,75,2301,0.6,27.2,5.8,2.3,8.1,0.169,3.9,-0.8,3.1,3,0.78,1.512396211,45.53240741,45532407.41,36725670,,
