Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,Salary,,,Max Salary,Multipler
22,Nikola Jokić,29,DEN,C,70,70,2571,0.663,29.5,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8,0.61,5.037988167,59.42263279,"55,224,526",,,"55,224,526",929351.7201
18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,0.637,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9,0.829,4.52368918,58.84526559,"54,687,949",,,,
44,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,0.625,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,0.585,3.278797817,58.26789838,"54,151,372",,,,
30,Tyrese Haliburton,24,IND,PG,73,73,2451,0.616,21.6,8.1,2.3,10.4,0.204,5.7,0.2,5.8,4.9,0.61,2.45518134,57.69053118,"53,614,794",,,,
14,Jayson Tatum,26,BOS,PF,72,72,2624,0.582,31.2,5.3,4.2,9.5,0.174,4.4,0.8,5.2,4.8,0.744,2.23769883,57.11316397,"53,078,217",,,,
51,Stephen Curry,36,GSW,PG,70,70,2252,0.618,29.8,5.2,2.7,7.9,0.168,6.4,0,6.3,4.8,0.585,2.231280423,56.53579677,"52,541,640",,,,
33,Domantas Sabonis,28,SAC,C,70,70,2429,0.655,21.6,7.4,2.7,10.1,0.199,4.2,1.1,5.2,4.4,0.488,2.197212001,55.95842956,"52,005,063",,,,
32,LeBron James,40,LAL,SF,70,70,2444,0.604,30.1,4.9,2.8,7.7,0.152,4.9,0.7,5.6,4.7,0.61,2.118584889,55.38106236,"51,468,486",,,,
3,Anthony Edwards,23,MIN,SG,79,79,2871,0.595,31.4,4.6,3.8,8.4,0.14,4.4,0,4.3,4.6,0.598,2.017690712,54.80369515,"50,931,908",,,,
5,James Harden,35,LAC,PG,79,79,2789,0.582,29.6,4,4.3,8.3,0.143,3.5,0.8,4.3,4.4,0.61,1.934564187,54.22632794,"50,395,331",,,,
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,0.63,27.4,6.3,3.8,10.1,0.193,3.5,0.1,3.6,3.5,0.622,1.855329339,53.64896074,"49,858,754",,,,
41,Jarrett Allen,26,CLE,C,82,82,2296,0.724,15.9,7.6,4,11.6,0.243,3,1.2,4.2,3.6,0.78,1.789390975,53.07159353,"49,322,177",,,,
63,Evan Mobley,23,CLE,PF,71,71,2167,0.633,23.2,5.3,3.8,9,0.2,3.1,1.5,4.6,3.6,0.78,1.78125556,52.49422633,"48,785,600",,,,
